ID,Name,Description,Ontological Scope,Field,Collection_Turtle,Authors,Users,Funders
[COL.1] ID Attribution,ID Attribution,This collection of fields enables the documentation the identifier attributed to an entity.,E1 CRM Entity,"fie_1_Identifier,fie_2_Identifier Type,fie_3_Identifier Provider,fie_4_Identifier Source","<http://www.srdm.org/object/E1> a <http://www.cidoc-crm.org/cidoc-crm/E1_CRM_Entity>;
crm:P1_is_identified_by <https://example.org/name/fie_1_1> .
<https://example.org/name/fie_1_1> a crm:E42_Identifier;
crm:P190_has_symbolic_content ""content"" .<http://www.srdm.org/object/E1> a <http://www.cidoc-crm.org/cidoc-crm/E1_CRM_Entity>;
crm:P1_is_identified_by <https://example.org/name/fie_1_1> .
<https://example.org/name/fie_1_1> a crm:E42_Identifier ;
crm:P2_has_type <https://example.org/type/fie_2_1> .
<https://example.org/type/fie_2_1> a crm:E55_Type .<http://www.srdm.org/object/E1> a <http://www.cidoc-crm.org/cidoc-crm/E1_CRM_Entity>;
crm:P1_is_identified_by <https://example.org/name/fie_1_1> .
<https://example.org/name/fie_1_1> a crm:E42_Identifier ;
crm:P37i_was_assigned_by <https://example.org/event/fie_3_1> .
<https://example.org/event/fie_3_1> a crm:E15_Identifier_Assignment;
crm:P14_carried_out_by <https://example.org/actor/fie_3_2> .
<https://example.org/actor/fie_3_2> a crm:E39_Actor .<http://www.srdm.org/object/E1> a <http://www.cidoc-crm.org/cidoc-crm/E1_CRM_Entity>;
crm:P1_is_identified_by <https://example.org/name/fie_1_1> .
<https://example.org/name/fie_1_1> a crm:E42_Identifier ;
crm:P37i_was_assigned_by <https://example.org/event/fie_3_1> .
<https://example.org/event/fie_3_1> a crm:E15_Identifier_Assignment;
crm:P16_used_specific_object <https://example.org/conceptual_object/fie_4_1> .
<https://example.org/conceptual_object/fie_4_1> a crm:E73_Information_Object .","George Bruseker,Nicola Carboni",Swiss Art Research Institute,Swiss Art Research Institute
[COL.2] Preferred Name,Preferred Name,This collection of fields enables the documentation of a preferred name attributed to an entity.,E1 CRM Entity,"fie_5_Name,fie_6_Name Language,fie_7_Name Part,fie_8_Name Part Type,fie_9_Name Part Language","<http://www.srdm.org/object/E1> a <http://www.cidoc-crm.org/cidoc-crm/E1_CRM_Entity>;
crm:P1_is_identified_by <https://example.org/name/fie_5_1> .
<https://example.org/name/fie_5_1> a crm:E33_E41_Linguistic_Appellation;
crm:P190_has_symbolic_content ""content"" ;
crm:P2_has_type <http://vocab.getty.edu/aat/300404670> .
<http://vocab.getty.edu/aat/300404670> a crm:E55_Type;
rdfs:label ""preferred terms"" .<http://www.srdm.org/object/E1> a <http://www.cidoc-crm.org/cidoc-crm/E1_CRM_Entity>;
crm:P1_is_identified_by <https://example.org/name/fie_5_1> .
<https://example.org/name/fie_5_1> a crm:E33_E41_Linguistic_Appellation;
crm:P72_has_language <https://example.org/name/fie_6_1> .
<https://example.org/name/fie_6_1> a crm:E56_Language .<http://www.srdm.org/object/E1> a <http://www.cidoc-crm.org/cidoc-crm/E1_CRM_Entity>;
crm:P1_is_identified_by <https://example.org/name/fie_5_1> .
<https://example.org/name/fie_5_1> a crm:E33_E41_Linguistic_Appellation;
crm:P106_is_composed_of <https://example.org/name/fie_7_1> .
<https://example.org/name/fie_7_1> a crm:E33_E41_Linguistic_Appellation ;
rdfs:label ""content"" .<http://www.srdm.org/object/E1> a <http://www.cidoc-crm.org/cidoc-crm/E1_CRM_Entity>;
crm:P1_is_identified_by <https://example.org/name/fie_5_1> .
<https://example.org/name/fie_5_1> a crm:E33_E41_Linguistic_Appellation;
crm:P106_is_composed_of <https://example.org/name/fie_7_1> .
<https://example.org/name/fie_7_1> a crm:E33_E41_Linguistic_Appellation ;
crm:P2_has_type <https://example.org/type/fie_8_1> .
<https://example.org/type/fie_8_1> a crm:E55_Type .<http://www.srdm.org/object/E1> a <http://www.cidoc-crm.org/cidoc-crm/E1_CRM_Entity>;
crm:P1_is_identified_by <https://example.org/name/fie_5_1> .
<https://example.org/name/fie_5_1> a crm:E33_E41_Linguistic_Appellation;
crm:P106_is_composed_of <https://example.org/name/fie_7_1> .
<https://example.org/name/fie_7_1> a crm:E33_E41_Linguistic_Appellation ;
crm:P72_has_language <https://example.org/type/fie_9_1> .
<https://example.org/type/fie_9_1> a crm:E56_Language .","George Bruseker,Nicola Carboni",Swiss Art Research Institute,Swiss Art Research Institute
[COL.3] Alternative Name,Alternative Name,This collection of fields enables the documentation of an alternative name attributed to an entity.,E1 CRM Entity,"fie_10_Alternative Name,fie_11_Alternative Name Type,fie_12_Alternative Name Language,fie_13_Alternative Name Use Period - Earliest,fie_14_Alternative Name Use Period - Latest,fie_15_Alternative Name - Attributed by,fie_16_Alternative Name - Source","<http://www.srdm.org/object/E1> a <http://www.cidoc-crm.org/cidoc-crm/E1_CRM_Entity>;
crm:P1_is_identified_by <https://example.org/name/fie_10_1> .
<https://example.org/name/fie_10_1> a crm:E33_E41_Linguistic_Appellation;
crm:P190_has_symbolic_content ""content"" .<http://www.srdm.org/object/E1> a <http://www.cidoc-crm.org/cidoc-crm/E1_CRM_Entity>;
crm:P1_is_identified_by <https://example.org/name/fie_10_1> .
<https://example.org/name/fie_10_1> a crm:E33_E41_Linguistic_Appellation;
crm:P2_has_type <https://example.org/type/fie_11_1> .
<https://example.org/type/fie_11_1> a crm:E55_Type .<http://www.srdm.org/object/E1> a <http://www.cidoc-crm.org/cidoc-crm/E1_CRM_Entity>;
crm:P1_is_identified_by <https://example.org/name/fie_10_1> .
<https://example.org/name/fie_10_1> a crm:E33_E41_Linguistic_Appellation;
crm:P72_has_language <https://example.org/name/fie_12_1> .
<https://example.org/name/fie_12_1> a crm:E56_Language .<http://www.srdm.org/object/E1> a <http://www.cidoc-crm.org/cidoc-crm/E1_CRM_Entity>;
crm:P1_is_identified_by <https://example.org/name/fie_10_1> .
<https://example.org/name/fie_10_1> a crm:E33_E41_Linguistic_Appellation;
frbroo:R64i_was_name_used_by <https://example.org/event/fie_13_1> .
<https://example.org/event/fie_13_1> a frbroo:F52_Name_Use_Activity ;
crm:P4_has_time-span <https://example.org/time_span/fie_13_2> .
<https://example.org/time_span/fie_13_2> a crm:E52_Time-Span;
crm:P82a_begin_of_the_begin """"^^xsd:dateTime .<http://www.srdm.org/object/E1> a <http://www.cidoc-crm.org/cidoc-crm/E1_CRM_Entity>;
crm:P1_is_identified_by <https://example.org/name/fie_10_1> .
<https://example.org/name/fie_10_1> a crm:E33_E41_Linguistic_Appellation;
frbroo:R64i_was_name_used_by <https://example.org/event/fie_13_1> .
<https://example.org/event/fie_13_1> a frbroo:F52_Name_Use_Activity ;
crm:P4_has_time-span <https://example.org/time_span/fie_13_2> .
<https://example.org/time_span/fie_13_2> a crm:E52_Time-Span;
crm:P82b_end_of_the_end """"^^xsd:dateTime .<http://www.srdm.org/object/E1> a <http://www.cidoc-crm.org/cidoc-crm/E1_CRM_Entity>;
crm:P1_is_identified_by <https://example.org/name/fie_10_1> .
<https://example.org/name/fie_10_1> a crm:E33_E41_Linguistic_Appellation;
crm:P141i_was_assigned_by <https://example.org/event/fie_15_1> .
<https://example.org/event/fie_15_1> a crm:E13_Attribute_Assignment ;
crm:P14_carried_out_by <https://example.org/actor/fie_15_2> .
<https://example.org/actor/fie_15_2> a crm:E39_Actor .<http://www.srdm.org/object/E1> a <http://www.cidoc-crm.org/cidoc-crm/E1_CRM_Entity>;
crm:P1_is_identified_by <https://example.org/name/fie_10_1> .
<https://example.org/name/fie_10_1> a crm:E33_E41_Linguistic_Appellation;
crm:P141i_was_assigned_by <https://example.org/event/fie_15_1> .
<https://example.org/event/fie_15_1> a crm:E13_Attribute_Assignment ;
crm:P16_used_specific_object <https://example.org/conceptual_object/fie_16_1> .
<https://example.org/conceptual_object/fie_16_1> a crm:E73_Information_Object .","George Bruseker,Nicola Carboni",Swiss Art Research Institute,Swiss Art Research Institute
[COL.4] Type,Type,This collection of fields enables the documentation of the classifications attributed to an entity.,E1 CRM Entity,"fie_17_Type,fie_18_Type Start - Date,fie_19_Type - End Date,fie_20_Type Attributor,fie_21_Type Qualifying Description","<http://www.srdm.org/object/E1> a <http://www.cidoc-crm.org/cidoc-crm/E1_CRM_Entity>;
crm:P2_has_type <https://example.org/type/fie_17_1> .
<https://example.org/type/fie_17_1> a crm:E55_Type .<http://www.srdm.org/object/E1> a <http://www.cidoc-crm.org/cidoc-crm/E1_CRM_Entity>;
crm:P41i_was_classified_by <https://example.org/event/fie_18_1> .
<https://example.org/event/fie_18_1> a crm:E17_Type_Assignment ;
crm:P42_assigned <https://example.org/type/fie_17_1> ;
crm:P4_has_time-span <https://example.org/time_span/fie_18_2> .
<https://example.org/time_span/fie_18_2> a crm:E52_Time-Span;
crm:P82a_begin_of_the_begin """"^^xsd:dateTime .<http://www.srdm.org/object/E1> a <http://www.cidoc-crm.org/cidoc-crm/E1_CRM_Entity>;
crm:P41i_was_classified_by <https://example.org/event/fie_18_1> .
<https://example.org/event/fie_18_1> a crm:E17_Type_Assignment ;
crm:P42_assigned <https://example.org/type/fie_17_1> ;
crm:P4_has_time-span <https://example.org/time_span/fie_18_2> .
<https://example.org/time_span/fie_18_2> a crm:E52_Time-Span;
crm:P82b_end_of_the_end """"^^xsd:dateTime .<http://www.srdm.org/object/E1> a <http://www.cidoc-crm.org/cidoc-crm/E1_CRM_Entity>;
crm:P41i_was_classified_by <https://example.org/event/fie_18_1> .
<https://example.org/event/fie_18_1> a crm:E17_Type_Assignment ;
crm:P42_assigned <https://example.org/type/fie_17_1> ;
crm:P14_carried_out_by <https://example.org/actor/fie_20_1> .
<https://example.org/actor/fie_20_1> a crm:E39_Actor .<http://www.srdm.org/object/E1> a <http://www.cidoc-crm.org/cidoc-crm/E1_CRM_Entity>;
crm:P41i_was_classified_by <https://example.org/event/fie_18_1> .
<https://example.org/event/fie_18_1> a crm:E17_Type_Assignment ;
crm:P67i_is_referred_to_by <https://example.org/conceptual_object/fie_21_1> . 
<https://example.org/conceptual_object/fie_21_1> a crm:E33_Linguistic_Object .","George Bruseker,Nicola Carboni",Swiss Art Research Institute,Swiss Art Research Institute
[COL.5] Current Parthood,Current Parthood,This collection of fields enables the documentation of the relation of parthood that currently holds between two places.,E53 Place,"fie_35_Has Part,fie_36_Is Part of,fie_287_Part of Archival Unit","<http://www.srdm.org/place/E53> a <http://www.cidoc-crm.org/cidoc-crm/E53_Place>;
crm:P89i_contains <https://example.org/place/fie_35_1> .
<https://example.org/place/fie_35_1> a crm:E53_Place .<http://www.srdm.org/place/E53> a <http://www.cidoc-crm.org/cidoc-crm/E53_Place>;
crm:P89_falls_within <https://example.org/place/fie_36_1> .
<https://example.org/place/fie_36_1> a crm:E53_Place .","George Bruseker,Nicola Carboni",Swiss Art Research Institute,Swiss Art Research Institute
[COL.6] Historical Parthood,Historical Parthood,This collection of fields enables the documentation of the relation of parthood that has in the past held holds between two places.,E53 Place,"fie_37_Historically Has Part,fie_38_Name at time of Historically Having Part,fie_39_Type at Time of Historically Having Part,fie_40_Historically Has Part - Earliest Date Time,fie_41_Historically Has Part - Latest Date Time,fie_42_Historically Is Part of Place,fie_43_Name at Time of Historically Being Part of Place,fie_44_Type at Time of Historically Being Part of Place,fie_45_Historically Is Part of Place - Earliest Date Time,fie_46_Historically Is Part of Place - Latest Date Time,fie_47_Historical Coordinates","<http://www.srdm.org/place/E53> a <http://www.cidoc-crm.org/cidoc-crm/E53_Place>;
crm:P161i_is_spatial_projection_of <https://example.org/event/fie_37_1> . 
<https://example.org/event/fie_37_1> a crm:E4_Period;
crm:P161_has_spatial_projection <https://example.org/place/fie_37_2> . 
<https://example.org/place/fie_37_2> a crm:E53_Place .<http://www.srdm.org/place/E53> a <http://www.cidoc-crm.org/cidoc-crm/E53_Place>;
crm:P161i_is_spatial_projection_of <https://example.org/event/fie_37_1> .
<https://example.org/event/fie_37_1> a crm:E4_Period;
crm:P1_is_identified_by <https://example.org/name/fie_38_1> .
<https://example.org/name/fie_38_1> a crm:E41_Appellation ;
rdfs:label ""content"" .<http://www.srdm.org/place/E53> a <http://www.cidoc-crm.org/cidoc-crm/E53_Place>;
crm:P161i_is_spatial_projection_of <https://example.org/event/fie_37_1> .
<https://example.org/event/fie_37_1> a crm:E4_Period;
crm:P2_has_type <https://example.org/type/fie_39_1> .
<https://example.org/type/fie_39_1> a crm:E55_Type .<http://www.srdm.org/place/E53> a <http://www.cidoc-crm.org/cidoc-crm/E53_Place>;
crm:P161i_is_spatial_projection_of <https://example.org/event/fie_37_1> .
<https://example.org/event/fie_37_1> a crm:E4_Period;
crm:P160_has_temporal_projection <https://example.org/time_span/fie_40_1> .
<https://example.org/time_span/fie_40_1> a crm:E52_Time-Span ;
crm:P82a_begin_of_the_begin """"^^xsd:dateTime .<http://www.srdm.org/place/E53> a <http://www.cidoc-crm.org/cidoc-crm/E53_Place>;
crm:P161i_is_spatial_projection_of <https://example.org/event/fie_37_1> .
<https://example.org/event/fie_37_1> a crm:E4_Period;
crm:P160_has_temporal_projection <https://example.org/time_span/fie_40_1> .
<https://example.org/time_span/fie_40_1> a crm:E52_Time-Span ;
crm:P82b_end_of_the_end """"^^xsd:dateTime .<http://www.srdm.org/place/E53> a <http://www.cidoc-crm.org/cidoc-crm/E53_Place>;
crm:P161i_is_spatial_projection_of <https://example.org/event/fie_42_1> .
<https://example.org/event/fie_42_1> a crm:E4_Period;
crm:P166i_had_presence <https://example.org/stv/fie_42_2> .
<https://example.org/stv/fie_42_2> a crm:E93_Presence ;
crm:P10_falls_within <https://example.org/place/fie_42_3> .
<https://example.org/place/fie_42_3> a crm:E4_Period;
crm:P161_has_spatial_projection <https://example.org/place/fie_42_4> .
<https://example.org/place/fie_42_4> a crm:E53_Place ;
crm:P168_place_is_defined_by """"^^geo:wkt .<http://www.srdm.org/place/E53> a <http://www.cidoc-crm.org/cidoc-crm/E53_Place>;
crm:P161i_is_spatial_projection_of <https://example.org/event/fie_42_1> .
<https://example.org/event/fie_42_1> a crm:E4_Period;
crm:P166i_had_presence <https://example.org/stv/fie_42_2> .
<https://example.org/stv/fie_42_2> a crm:E93_Presence ;
crm:P10i_contains <https://example.org/event/fie_43_1> ;
crm:P164_is_temporally_specified_by <https://example.org/time_span/fie_45_1> .
<https://example.org/time_span/fie_45_1> a crm:E52_Time-Span ;
crm:P82b_end_of_the_end """"^^xsd:dateTime ;
crm:P82a_begin_of_the_begin """"^^xsd:dateTime .
<https://example.org/event/fie_43_1> a frbroo:F52_Name_Use_Activity;
frbroo:R64_used_name <https://example.org/name/fie_43_2> ;
crm:P140_assigned_attribute_to <https://example.org/event/fie_42_1> .
<https://example.org/name/fie_43_2> a crm:E41_Appellation ;
crm:P190_has_symbolic_content ""content"".<http://www.srdm.org/place/E53> a <http://www.cidoc-crm.org/cidoc-crm/E53_Place>;
crm:P161i_is_spatial_projection_of <https://example.org/event/fie_42_1> .
<https://example.org/event/fie_42_1> a crm:E4_Period;
crm:P166i_had_presence <https://example.org/stv/fie_42_2> .
<https://example.org/stv/fie_42_2> a crm:E93_Presence ;
crm:P10i_contains <https://example.org/event/fie_44_1> ;
crm:P164_is_temporally_specified_by <https://example.org/time_span/fie_45_1> .
<https://example.org/time_span/fie_45_1> a crm:E52_Time-Span ;
crm:P82b_end_of_the_end """"^^xsd:dateTime ;
crm:P82a_begin_of_the_begin """"^^xsd:dateTime .
<https://example.org/event/fie_44_1> a crm:E17_Type_Assignment;
crm:P42_assigned <https://example.org/type/fie_44_2> ;
crm:P41_classified <https://example.org/event/fie_42_1> .
<https://example.org/type/fie_44_2> a crm:E55_Type .<http://www.srdm.org/place/E53> a <http://www.cidoc-crm.org/cidoc-crm/E53_Place>;
crm:P161i_is_spatial_projection_of <https://example.org/event/fie_42_1> .
<https://example.org/event/fie_42_1> a crm:E4_Period;
crm:P166i_had_presence <https://example.org/stv/fie_42_2> .
<https://example.org/stv/fie_42_2> a crm:E93_Presence ;
crm:P164_is_temporally_specified_by <https://example.org/time_span/fie_45_1> .
<https://example.org/time_span/fie_45_1> a crm:E52_Time-Span ;
crm:P82a_begin_of_the_begin """"^^xsd:dateTime .<http://www.srdm.org/place/E53> a <http://www.cidoc-crm.org/cidoc-crm/E53_Place>;
crm:P161i_is_spatial_projection_of <https://example.org/event/fie_42_1> .
<https://example.org/event/fie_42_1> a crm:E4_Period;
crm:P166i_had_presence <https://example.org/stv/fie_42_2> .
<https://example.org/stv/fie_42_2> a crm:E93_Presence ;
crm:P164_is_temporally_specified_by <https://example.org/time_span/fie_45_1> .
<https://example.org/time_span/fie_45_1> a crm:E52_Time-Span ;
crm:P82b_end_of_the_end """"^^xsd:dateTime .","George Bruseker,Nicola Carboni",Swiss Art Research Institute,Swiss Art Research Institute
[COL.7] Temporal Start,Temporal Start,This collection of fields enables the documentation of parameters involved an event attributed starting time.,E2 Temporal Entity,"fie_48_Earliest Possible Start Date,fie_49_Latest Possible Start Date","<http://www.srdm.org/event/E2> a <http://www.cidoc-crm.org/cidoc-crm/E2_Temporal_Entity>;
crm:P4_has_time-span <https://example.org/time_span/fie_48_1> .
<https://example.org/time_span/fie_48_1> a crm:E52_Time-Span ;
crm:P82a_begin_of_the_begin """"^^xsd:dateTime .<http://www.srdm.org/event/E2> a <http://www.cidoc-crm.org/cidoc-crm/E2_Temporal_Entity>;
crm:P4_has_time-span <https://example.org/time_span/fie_48_1> .
<https://example.org/time_span/fie_48_1> a crm:E52_Time-Span ;
crm:P81a_end_of_the_begin """"^^xsd:dateTime .","George Bruseker,Nicola Carboni",Swiss Art Research Institute,Swiss Art Research Institute
[COL.8] Temporal End,Temporal End,This collection of fields enables the documentation of parameters involved an event attributed ending time.,E2 Temporal Entity,"fie_50_Earliest Possible End Date,fie_51_Latest Possible End Date","<http://www.srdm.org/event/E2> a <http://www.cidoc-crm.org/cidoc-crm/E2_Temporal_Entity>;
crm:P4_has_time-span <https://example.org/time_span/fie_48_1> .
<https://example.org/time_span/fie_48_1> a crm:E52_Time-Span ;
crm:P81b_begin_of_the_end """"^^xsd:dateTime .<http://www.srdm.org/event/E2> a <http://www.cidoc-crm.org/cidoc-crm/E2_Temporal_Entity>;
crm:P4_has_time-span <https://example.org/time_span/fie_48_1> .
<https://example.org/time_span/fie_48_1> a crm:E52_Time-Span ;
crm:P82b_end_of_the_end """"^^xsd:dateTime .","George Bruseker,Nicola Carboni",Swiss Art Research Institute,Swiss Art Research Institute
[COL.9] Temporal Duration,Temporal Duration,This collection of fields enables the documentation of temporal duration information attributed to an event.,E2 Temporal Entity,"fie_52_Maximal Duration - Value,fie_53_Maximal Duration - Unit,fie_54_Minimal Duration - Value,fie_55_Minimal Duration - Unit","<http://www.srdm.org/event/E2> a <http://www.cidoc-crm.org/cidoc-crm/E2_Temporal_Entity>;
crm:P4_has_time-span <https://example.org/time_span/fie_48_1> .
<https://example.org/time_span/fie_48_1> a crm:E52_Time-Span ;
crm:P84_had_at_most_duration <https://example.org/dimension/fie_52_1>.
<https://example.org/dimension/fie_52_1> a crm:E54_Dimension ;
crm:P90_has_value ""content"" .<http://www.srdm.org/event/E2> a <http://www.cidoc-crm.org/cidoc-crm/E2_Temporal_Entity>;
crm:P4_has_time-span <https://example.org/time_span/fie_48_1> .
<https://example.org/time_span/fie_48_1> a crm:E52_Time-Span ;
crm:P84_had_at_most_duration <https://example.org/dimension/fie_52_1>.
<https://example.org/dimension/fie_52_1> a crm:E54_Dimension ;
crm:P91_has_unit <https://example.org/type/fie_53_1> .
<https://example.org/type/fie_53_1> a crm:E58_Measurement_Unit .<http://www.srdm.org/event/E2> a <http://www.cidoc-crm.org/cidoc-crm/E2_Temporal_Entity>;
crm:P4_has_time-span <https://example.org/time_span/fie_48_1> .
<https://example.org/time_span/fie_48_1> a crm:E52_Time-Span ;
crm:P83_had_at_least_duration <https://example.org/dimension/fie_54_1>.
<https://example.org/dimension/fie_54_1> a crm:E54_Dimension ;
crm:P90_has_value ""content"" .<http://www.srdm.org/event/E2> a <http://www.cidoc-crm.org/cidoc-crm/E2_Temporal_Entity>;
crm:P4_has_time-span <https://example.org/time_span/fie_48_1> .
<https://example.org/time_span/fie_48_1> a crm:E52_Time-Span ;
crm:P83_had_at_least_duration  <https://example.org/dimension/fie_54_1>.
<https://example.org/dimension/fie_54_1> a crm:E54_Dimension ;
crm:P91_has_unit <https://example.org/type/fie_55_1> .
<https://example.org/type/fie_55_1> a crm:E58_Measurement_Unit .","George Bruseker,Nicola Carboni",Swiss Art Research Institute,Swiss Art Research Institute
[COL.11] Production,Production,"This collection of fields enables the documentation of the parameters involved in the production of a physical thing - e.g. artwork or built work - such as the time it occurred,  where it happened, who carried out the production and so on.",E24 Physical Human-Made Thing,"fie_58_Production Date - Earliest,fie_59_Production Date - Latest,fie_60_Production Location,fie_61_Production Period,fie_262_Production - Used Physical Object,fie_299_Production Type","<http://www.srdm.org/physical_object/E24> a <http://www.cidoc-crm.org/cidoc-crm/E24_Physical_Human-Made_Thing>;
crm:P108i_was_produced_by <https://example.org/event/fie_58_1> .
<https://example.org/event/fie_58_1> a crm:E12_Production;
crm:P4_has_time-span <https://example.org/time_span/fie_58_2> .
<https://example.org/time_span/fie_58_2> a crm:E52_Time-Span;
crm:P82a_begin_of_the_begin """"^^xsd:dateTime .<http://www.srdm.org/physical_object/E24> a <http://www.cidoc-crm.org/cidoc-crm/E24_Physical_Human-Made_Thing>;
crm:P108i_was_produced_by <https://example.org/event/fie_58_1> .
<https://example.org/event/fie_58_1> a crm:E12_Production;
crm:P4_has_time-span <https://example.org/time_span/fie_58_2> .
<https://example.org/time_span/fie_58_2> a crm:E52_Time-Span;
crm:P82b_end_of_the_end """"^^xsd:dateTime .<http://www.srdm.org/physical_object/E24> a <http://www.cidoc-crm.org/cidoc-crm/E24_Physical_Human-Made_Thing>;
crm:P108i_was_produced_by <https://example.org/event/fie_58_1> .
<https://example.org/event/fie_58_1> a crm:E12_Production;
crm:P7_took_place_at <https://example.org/place/fie_60_1> . <https://example.org/place/fie_60_1> a crm:E53_Place .<http://www.srdm.org/physical_object/E24> a <http://www.cidoc-crm.org/cidoc-crm/E24_Physical_Human-Made_Thing>;
crm:P108i_was_produced_by <https://example.org/event/fie_58_1> .
<https://example.org/event/fie_58_1> a crm:E12_Production;
crm:P10_falls_within <https://example.org/event/fie_61_1> . <https://example.org/event/fie_61_1> a crm:E4_Period .<http://www.srdm.org/physical_object/E24> a <http://www.cidoc-crm.org/cidoc-crm/E24_Physical_Human-Made_Thing>;
crm:P108i_was_produced_by <https://example.org/event/fie_58_1> .
<https://example.org/event/fie_58_1> a crm:E12_Production;
crm:P16_used_specific_object <https://example.org/physical_object/fie_262_1> .
<https://example.org/physical_object/fie_262_1> a crm:E18_Physical_Thing .<http://www.srdm.org/physical_object/E24> a <http://www.cidoc-crm.org/cidoc-crm/E24_Physical_Human-Made_Thing>;
crm:P108i_was_produced_by <https://example.org/event/fie_58_1> .
<https://example.org/event/fie_58_1> a crm:E12_Production;
crm:P2_has_type <https://example.org/physical_object/fie_299_1> .
<https://example.org/physical_object/fie_299_1> a crm:E55_Type .","George Bruseker,Nicola Carboni",Swiss Art Research Institute,Swiss Art Research Institute
